_id,Study,Province,Location,Infrastructure,Infrastructure Component 1,Infrastructure Component 2,Climate Parameter,Climate Parameter General,Risk,Risk (Current),Risk (Short Term),Risk (Medium Term),Risk (Long Term)
104,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Wind,Wind,NAN,NAN,NAN,NAN,NAN
105,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Wind,Wind,NAN,NAN,NAN,NAN,NAN
106,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Wind,Wind,Med,NAN,NAN,Med,NAN
107,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Wind,Wind,Med,NAN,NAN,Med,NAN
108,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Wind,Wind,NAN,NAN,NAN,NAN,NAN
109,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Wind,Wind,NAN,NAN,NAN,NAN,NAN
110,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Heating System,Wind,Wind,Med,NAN,NAN,Med,NAN
111,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Fire Protection,Wind,Wind,NAN,NAN,NAN,NAN,NAN
112,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Food and Housekeeping Services,Wind,Wind,NAN,NAN,NAN,NAN,NAN
113,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Food and Housekeeping Services,Wind,Wind,NAN,NAN,NAN,NAN,NAN
114,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Wind,Wind,NAN,NAN,NAN,NAN,NAN
115,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Wind,Wind,NAN,NAN,NAN,NAN,NAN
116,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Wind,Wind,Med,NAN,NAN,Med,NAN
117,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Wind,Wind,NAN,NAN,NAN,NAN,NAN
118,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Wind,Wind,NAN,NAN,NAN,NAN,NAN
119,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Wind,Wind,NAN,NAN,NAN,NAN,NAN
120,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Plumbing Equipment,Wind,Wind,NAN,NAN,NAN,NAN,NAN
121,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Heating System,Wind,Wind,Med,NAN,NAN,Med,NAN
122,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
123,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Channels,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
124,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
125,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Sewer,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
126,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Detention,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
127,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Treatment,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
128,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
129,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
130,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Flow Control,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
131,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Flow Control,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
132,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Outfall,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
133,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
134,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Channels,NAN,Wind,Wind,NAN,NAN,NAN,NAN,NAN
135,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Water System,Stormwater,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
136,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
137,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Runway,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
138,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
139,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
140,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
141,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
142,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
143,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
144,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Alaram System,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
145,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
146,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
147,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Lighting,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
148,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Lighting,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
149,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
150,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
151,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
152,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
153,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
154,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
155,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Heating System,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
156,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Fire Protection,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
157,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Food and Housekeeping Services,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
158,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Food and Housekeeping Services,Permafrost,Composite,NAN,NAN,NAN,NAN,NAN
